customer_id,scenario,arrival_clock,arrival_hour,items,order_queue_wait_seconds,ordering_time_seconds,kitchen_queue_wait_seconds,food_prep_time_seconds,queue_wait_seconds,total_time_seconds,completion_clock
294,Self-Order Terminal (SOT),13:46:01,13.77,4,0.0,108.1040169162289,0.0,108.03194405233896,0.0,216.13596096856782,13:49:37
295,Self-Order Terminal (SOT),13:49:42,13.83,3,0.0,46.842084755343656,0.0,142.26936849700652,0.0,189.11145325234975,13:52:51
296,Self-Order Terminal (SOT),13:50:21,13.84,3,0.0,55.14529851424403,0.0,77.38036074841919,0.0,132.52565926266107,13:52:33
297,Self-Order Terminal (SOT),13:52:01,13.87,4,0.0,96.35290157440201,0.0,91.84532068108112,0.0,188.19822225548342,13:55:09
298,Self-Order Terminal (SOT),13:52:10,13.87,3,0.0,55.38410692380009,0.0,116.33615467926388,0.0,171.72026160306268,13:55:02
299,Self-Order Terminal (SOT),13:53:30,13.89,4,0.0,90.2199607250564,2.1373096683091717,117.18680958152135,2.1373096683091717,209.5440799748867,13:56:59
300,Self-Order Terminal (SOT),13:53:41,13.89,2,0.0,76.62058460589016,0.0,74.06845341865599,0.0,150.68903802454588,13:56:11
301,Self-Order Terminal (SOT),13:55:19,13.92,2,0.0,54.03815655839848,0.0,65.36812635968157,0.0,119.40628291808025,13:57:18
302,Self-Order Terminal (SOT),13:55:45,13.93,4,0.0,74.42360256982522,0.0,84.05881723488417,0.0,158.48241980470993,13:58:23
303,Self-Order Terminal (SOT),14:00:38,14.01,4,0.0,153.20694113197416,0.0,143.55708917817356,0.0,296.76403031014706,14:05:34
304,Self-Order Terminal (SOT),14:02:23,14.04,3,0.0,57.24571137532238,0.0,87.27216912266458,0.0,144.5178804979878,14:04:48
305,Self-Order Terminal (SOT),14:02:45,14.05,4,0.0,132.99482802922066,0.0,123.34341877318813,0.0,256.3382468024065,14:07:02
306,Self-Order Terminal (SOT),14:03:21,14.06,2,0.0,75.21540607602154,0.0,144.43748970158612,0.0,219.65289577760996,14:07:00
307,Self-Order Terminal (SOT),14:04:10,14.07,2,0.0,109.48037753739078,62.32208427207297,106.03835077622486,62.32208427207297,277.8408125856877,14:08:48
308,Self-Order Terminal (SOT),14:04:24,14.07,2,0.0,75.26726062129343,81.13639590994717,52.78461058207421,81.13639590994717,209.18826711331712,14:07:53
309,Self-Order Terminal (SOT),14:04:52,14.08,2,0.0,37.2622581155013,5.065736021930206,100.359184490427,5.065736021930206,142.68717862785707,14:07:15
310,Self-Order Terminal (SOT),14:05:16,14.09,1,0.0,80.42398947666467,38.64566643207945,80.4873302053254,38.64566643207945,199.55698611406842,14:08:35
311,Self-Order Terminal (SOT),14:09:25,14.16,3,0.0,126.77510133112543,0.0,120.46700065096077,0.0,247.24210198208675,14:13:33
312,Self-Order Terminal (SOT),14:19:34,14.33,5,0.0,61.99533417457333,0.0,175.90548695043572,0.0,237.90082112501113,14:23:32
313,Self-Order Terminal (SOT),14:20:00,14.33,4,0.0,80.5458425211317,0.0,94.25076924501883,0.0,174.79661176615264,14:22:55
314,Self-Order Terminal (SOT),14:21:47,14.36,4,0.0,107.4706832166584,0.0,72.26771399145557,0.0,179.7383972081152,14:24:47
315,Self-Order Terminal (SOT),14:23:16,14.39,2,0.0,36.04745703128146,0.0,74.36261277227901,0.0,110.41006980355814,14:25:06
316,Self-Order Terminal (SOT),14:24:22,14.41,4,0.0,93.90702934585713,0.0,168.206841447271,0.0,262.1138707931277,14:28:44
317,Self-Order Terminal (SOT),14:28:27,14.47,4,0.0,110.73924452432333,0.0,162.86583906321536,0.0,273.6050835875394,14:33:00
318,Self-Order Terminal (SOT),14:35:05,14.58,4,0.0,106.93899711611202,0.0,105.78811113501118,0.0,212.72710825112154,14:38:38
319,Self-Order Terminal (SOT),14:35:58,14.6,4,0.0,85.05438733776356,0.0,112.3507012066167,0.0,197.40508854438303,14:39:15
320,Self-Order Terminal (SOT),14:36:38,14.61,3,0.0,87.01855552032075,0.0,100.48972424031196,0.0,187.50827976063374,14:39:46
321,Self-Order Terminal (SOT),14:37:38,14.63,5,0.0,105.05049108979063,0.0,94.34613983183878,0.0,199.39663092163028,14:40:57
322,Self-Order Terminal (SOT),14:39:43,14.66,3,0.0,63.73665255240472,0.0,100.27096771656126,0.0,164.007620268967,14:42:27
323,Self-Order Terminal (SOT),14:42:19,14.71,4,0.0,89.71199145724466,0.0,106.82737769423518,0.0,196.53936915148006,14:45:35
324,Self-Order Terminal (SOT),14:46:14,14.77,4,0.0,69.57809960830848,0.0,120.0663299817653,0.0,189.64442959007283,14:49:23
325,Self-Order Terminal (SOT),14:46:23,14.77,4,0.0,68.72568193590689,0.0,133.61946366802067,0.0,202.34514560392563,14:49:46
326,Self-Order Terminal (SOT),14:47:09,14.79,2,0.0,98.67029176540875,0.0,56.07655591378298,0.0,154.74684767919098,14:49:44
327,Self-Order Terminal (SOT),14:58:53,14.98,2,0.0,97.3902020972543,0.0,68.71560448537032,0.0,166.10580658262188,15:01:39
328,Self-Order Terminal (SOT),15:00:17,15.0,1,0.0,74.40269786127115,0.0,45.00305493984673,0.0,119.40575280111807,15:02:16
329,Self-Order Terminal (SOT),15:04:53,15.08,4,0.0,92.3459805038209,0.0,109.1459735366479,0.0,201.49195404046986,15:08:15
330,Self-Order Terminal (SOT),15:07:07,15.12,2,0.0,70.03055787104547,0.0,66.07020387641052,0.0,136.100761747457,15:09:23
331,Self-Order Terminal (SOT),15:10:35,15.18,3,0.0,96.55999556457878,0.0,67.49317386786346,0.0,164.0531694324418,15:13:19
332,Self-Order Terminal (SOT),15:13:58,15.23,4,0.0,90.0466387331808,0.0,105.72264358015461,0.0,195.76928231333295,15:17:13
333,Self-Order Terminal (SOT),15:15:43,15.26,2,0.0,97.85865045460687,0.0,91.77372619076296,0.0,189.63237664537155,15:18:52
334,Self-Order Terminal (SOT),15:16:20,15.27,1,0.0,48.44158214398909,0.0,87.38024278956426,0.0,135.82182493355504,15:18:36
